Standard,Standard_Item_Report,Description,Reporting Category,Domain,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,Needed Calendar Days
GEO.G-GPE.B.4,GEO.G-GPE.B.4,"Use coordinates to prove simple geometric theorems algebraically, including the distance formula and its relationship to the Pythagorean Theorem. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, ) lies on the circle centered at the origin and containing the point (0, 2).",Geometry,Expressing Geometric Properties with Equations,,Module 5: Triangles and Congruence,,,,
GEO.G-GPE.B.4,GEO.G-GPE.B.4,"Use coordinates to prove simple geometric theorems algebraically, including the distance formula and its relationship to the Pythagorean Theorem. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, ) lies on the circle centered at the origin and containing the point (0, 2).",Geometry,Expressing Geometric Properties with Equations,,Module 7: Quadrilaterals,,,,
GEO.G-GPE.B.4,GEO.G-GPE.B.4,"Use coordinates to prove simple geometric theorems algebraically, including the distance formula and its relationship to the Pythagorean Theorem. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, ) lies on the circle centered at the origin and containing the point (0, 2).",Geometry,Expressing Geometric Properties with Equations,,Module 10: Circles,,,,
GEO.G-GPE.B.5,GEO.G-GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",Geometry,Expressing Geometric Properties with Equations,,Module 3: Logical Arguments and Line Relationships,,,,
GEO.G-GPE.B.5,GEO.G-GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",Geometry,Expressing Geometric Properties with Equations,,Module 8: Similarity,,,,
GEO.G-GPE.B.6,GEO.G-GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,Geometry,Expressing Geometric Properties with Equations,,Module 1: Tools of Geometry,,,,
GEO.G-GPE.B.7,GEO.G-GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles (e.g., using the distance formula).",Geometry,Expressing Geometric Properties with Equations,,Module 2: Angles and Geometric Figures,,,,
GEO.G-MG.A.1,GEO.G-MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",Geometry,Modeling with Geometry,,Module 1: Tools of Geometry,,,,
GEO.G-MG.A.1,GEO.G-MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",Geometry,Modeling with Geometry,,Module 2: Angles and Geometric Figures,,,,
GEO.G-MG.A.1,GEO.G-MG.A.1,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder).",Geometry,Modeling with Geometry,,Module 7: Quadrilaterals,,,,
GEO.G-MG.A.2,GEO.G-MG.A.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot).",Geometry,Modeling with Geometry,,Module 11: Measurement,,,,
GEO.G-MG.A.3,GEO.G-MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",Geometry,Modeling with Geometry,,Module 3: Logical Arguments and Line Relationships,,,,
GEO.G-MG.A.3,GEO.G-MG.A.3,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",Geometry,Modeling with Geometry,,Module 11: Measurement,,,,
GEO.G-MG.A.4,GEO.G-MG.A.4,Use dimensional analysis for unit conversions to confirm that expressions and equations make sense.,Geometry,Modeling with Geometry,,,,,,
GEO.G-SRT.A.1,GEO.G-SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 8: Similarity,,,,
GEO.G-SRT.A.1.a,GEO.G-SRT.A.1,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.",Geometry,"Similarity, Right Triangles, and Trigonometry",,,,,,
GEO.G-SRT.A.1.b,GEO.G-SRT.A.1,The dilation of a line segment is longer or shorter in the ratio given by the scale factor. ,Geometry,"Similarity, Right Triangles, and Trigonometry",,,,,,
GEO.G-SRT.A.2,GEO.G-SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 8: Similarity,,,,
GEO.G-SRT.A.3,GEO.G-SRT.A.3,Use the properties of similarity transformations to establish the Angle-Angle (AA) criterion for two triangles to be similar.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 8: Similarity,,,,
GEO.G-SRT.B.4,GEO.G-SRT.B.4," Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity.",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 8: Similarity,,,,
GEO.G-SRT.B.4,GEO.G-SRT.B.4," Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity.",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.B.5,GEO.G-SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 5: Triangles and Congruence,,,,
GEO.G-SRT.B.5,GEO.G-SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 8: Similarity,,,,
GEO.G-SRT.B.5,GEO.G-SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.C.6,GEO.G-SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.C.7,GEO.G-SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.C.8,GEO.G-SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.D.10,GEO.G-SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.D.11,GEO.G-SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).",Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.G-SRT.D.9,GEO.G-SRT.D.9,(+) Derive the formula A = ½ ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,Geometry,"Similarity, Right Triangles, and Trigonometry",,Module 9:  Right Triangles and Trigonometry,,,,
GEO.N-Q.A.3,GEO.N-Q.A.3, Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,Number and Quantity,Quantities,,,,,,
GEO.N-Q.A.3.a,GEO.N-Q.A.3,Describe the effects of approximate error in measurement and rounding on measurements and on computed values from measurements. Identify significant figures in recorded measures and computed values based on the context given and the precision of the tools used to measure.,Number and Quantity,Quantities,,,,,,
GEO.S-CP.A.1,GEO.S-CP.A.1,"Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events (“or,” “and,” “not”).",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.A.2,GEO.S-CP.A.2,"Understand that two events A and B are independent if the probability of A and B occurring together is the product of their probabilities, and use this characterization to determine if they are independent.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.A.3,GEO.S-CP.A.3,"Understand the conditional probability of A given B as P(A and B) ∕P(B), and interpret independence of A and B as saying that the conditional probability of A given B is the same as the probability of A, and the conditional probability of B given A is the same as the probability of B.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.A.4,GEO.S-CP.A.4,"Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities. For example, collect data from a random sample of students in your school on their favorite subject among math, science, and English. Estimate the probability that a randomly selected student from your school will favor science given that the student is in tenth grade. Do the same for other subjects and compare the results.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.A.5,GEO.S-CP.A.5,"Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations. For example, compare the chance of having lung cancer if you are a smoker with the chance of being a smoker if you have lung cancer",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.B.6,GEO.S-CP.B.6,"Find the conditional probability of A given B as the fraction of B’s outcomes that also belong to A, and interpret the answer in terms of the model.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.B.7,GEO.S-CP.B.7,"Apply the Addition Rule, P(A or B) = P(A) + P(B) – P(A and B), and interpret the answer in terms of the model.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.B.8,GEO.S-CP.B.8,"(+) Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(B|A) = P(B)P(A|B), and interpret the answer in terms of the model.",Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
GEO.S-CP.B.9,GEO.S-CP.B.9,(+) Use permutations and combinations to compute probabilities of compound events and solve problems.,Geometry,Conditional Probability and the Rules of Probability,,Module 12: Probability,,,,
AII.S-MD.B.5,AII.S-MD.B.5,"Use probabilities to make fair decisions (e.g., drawing by lots, using a random number generator).",Statistics and Probability,Using Probability to Make Decisions,,Module 12: Probability,,,,
AII.S-MD.B.6,AII.S-MD.B.6,"Analyze decisions and strategies using probability concepts (e.g., product testing, medical testing, pulling a hockey goalie at the end of a game and replacing the goalie with an extra skater).",Statistics and Probability,Using Probability to Make Decisions,,Module 12: Probability,,,,
